features.hero_position,features.pot_bb,features.to_call_bb,features.effective_stack_bb,features.can_check,features.can_call,features.can_raise,features.players_active,features.equity_win,features.call_max_bb,features.call_margin_bb
SB,139.0,13.0,100.0,0.0,1.0,0.0,4.0,0.275,52.72413793103448,39.72413793103448
SB,137.0,24.0,100.0,0.0,1.0,0.0,3.0,0.691667,307.3248046754646,283.3248046754646
SB,11.3,0.0,100.0,0.0,0.0,0.0,3.0,0.519444,12.214429119603126,12.214429119603126
BB,3.5,2.0,100.0,0.0,1.0,0.0,2.0,0.545833,4.20641636226322,2.2064163622632202
CO,102.8,2.3,100.0,0.0,1.0,0.0,2.0,0.566667,134.43095171611674,132.13095171611673
SB,163.0,25.0,100.0,0.0,1.0,0.0,4.0,0.304167,71.25160922232779,46.25160922232779
CO,124.0,14.0,100.0,0.0,1.0,0.0,4.0,0.579167,170.65369873560297,156.65369873560297
CO,71.0,0.0,100.0,0.0,0.0,1.0,4.0,0.53125,80.46666666666667,80.46666666666667
SB,10.0,0.0,100.0,0.0,0.0,1.0,3.0,0.329167,4.906839705261965,4.906839705261965
BB,103.5,2.0,100.0,0.0,1.0,0.0,3.0,0.313889,47.35022685833633,45.35022685833633
BTN,101.5,1.0,100.0,0.0,1.0,0.0,2.0,0.645833,185.08796556426768,184.08796556426768
HJ,28.0,19.0,100.0,0.0,1.0,1.0,3.0,0.379167,17.100695356078045,-1.8993046439219547
HJ,21.0,15.0,100.0,0.0,1.0,1.0,4.0,0.635417,36.60005266290529,21.60005266290529
BTN,158.0,24.0,100.0,0.0,1.0,0.0,4.0,0.602083,239.0677302050428,215.0677302050428
UTG,110.0,6.5,100.0,0.0,1.0,0.0,3.0,0.416667,78.5715363265922,72.0715363265922
SB,205.3,30.1,100.0,0.0,1.0,0.0,5.0,0.295833,86.25015784607913,56.15015784607913
HJ,40.1,0.0,100.0,0.0,0.0,1.0,4.0,0.433333,30.66466425607985,30.66466425607985
BTN,5.5,0.0,100.0,0.0,0.0,0.0,3.0,0.379167,3.3590651592296155,3.3590651592296155
SB,7.5,0.0,100.0,0.0,0.0,0.0,4.0,0.202778,1.9076681275729972,1.9076681275729972
HJ,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.675,3.1153846153846163,3.1153846153846163
BB,101.5,1.0,100.0,0.0,1.0,0.0,2.0,0.5625,130.5,129.5
BB,7.0,0.0,100.0,0.0,0.0,0.0,4.0,0.323611,3.3490742753060734,3.3490742753060734
BB,40.5,27.0,100.0,0.0,1.0,0.0,2.0,0.666667,81.00012150012151,54.00012150012151
BB,101.5,1.0,100.0,0.0,1.0,0.0,2.0,0.841667,539.5539811662763,538.5539811662763
BTN,130.0,14.0,100.0,0.0,1.0,0.0,4.0,0.379167,79.39608558179091,65.39608558179091
BB,162.0,40.0,100.0,0.0,1.0,0.0,4.0,0.39375,105.21649484536084,65.21649484536084
SB,101.5,1.0,100.0,0.0,1.0,0.0,2.0,0.808333,428.0642964099192,427.0642964099192
BB,105.6,2.3,100.0,0.0,1.0,0.0,4.0,0.295833,44.36442605234269,42.06442605234269
BB,44.5,28.0,100.0,0.0,1.0,1.0,3.0,0.415278,31.60454198747439,3.6045419874743914
HJ,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.725,3.9545454545454537,3.9545454545454537
BB,110.5,7.5,100.0,0.0,1.0,0.0,4.0,0.341667,57.3481862522462,49.8481862522462
HJ,23.5,0.0,100.0,0.0,0.0,1.0,4.0,0.29375,9.77433628318584,9.77433628318584
BB,136.0,16.0,100.0,0.0,1.0,0.0,5.0,0.295833,57.13600324922923,41.13600324922923
BB,9.0,0.0,100.0,0.0,0.0,0.0,5.0,0.608333,13.97870384791162,13.97870384791162
SB,24.0,0.0,100.0,0.0,0.0,1.0,4.0,0.283333,9.48835651704348,9.48835651704348
BTN,67.5,0.0,100.0,0.0,0.0,1.0,4.0,0.433333,51.61757698966059,51.61757698966059
BB,153.0,34.0,100.0,0.0,1.0,0.0,5.0,0.2975,64.79359430604981,30.793594306049812
BB,142.5,26.0,100.0,0.0,1.0,0.0,4.0,0.579167,196.11412959535016,170.11412959535016
BB,6.0,0.0,100.0,0.0,0.0,0.0,3.0,0.359722,3.370929502497352,3.370929502497352
BB,15.5,0.0,100.0,0.0,0.0,1.0,3.0,0.444444,12.399977680017855,12.399977680017855
BTN,151.2,0.0,100.0,0.0,0.0,0.0,5.0,0.2575,52.43636363636364,52.43636363636364
SB,10.0,0.0,100.0,0.0,0.0,1.0,3.0,0.3875,6.326530612244897,6.326530612244897
BB,72.5,0.0,100.0,0.0,0.0,1.0,4.0,0.283333,28.66274364523552,28.66274364523552
BB,80.0,0.0,100.0,0.0,0.0,1.0,4.0,0.583333,111.99984640012288,111.99984640012288
SB,128.0,13.0,100.0,0.0,1.0,0.0,4.0,0.322917,61.04624691507541,48.04624691507541
CO,121.0,0.0,100.0,0.0,0.0,0.0,5.0,0.316667,56.0732571089059,56.0732571089059
SB,1.5,1.0,100.0,0.0,1.0,0.0,1.0,0.525,1.6578947368421055,0.6578947368421055
SB,113.8,11.5,100.0,0.0,1.0,0.0,3.0,0.75,341.4,329.9
BB,7.0,0.0,100.0,0.0,0.0,0.0,4.0,0.304167,3.059885058627573,3.059885058627573
SB,127.0,13.0,100.0,0.0,1.0,0.0,3.0,0.313889,58.10124455080882,45.10124455080882
SB,4.0,0.0,100.0,0.0,0.0,0.0,2.0,0.5875,5.696969696969697,5.696969696969697
BTN,30.3,20.0,100.0,0.0,1.0,1.0,3.0,0.5,30.3,10.3
BB,101.5,1.0,100.0,0.0,1.0,0.0,2.0,0.75,304.5,303.5
HJ,61.7,0.0,100.0,0.0,0.0,1.0,5.0,0.364167,35.33805873554849,35.33805873554849
SB,117.0,13.0,100.0,0.0,1.0,0.0,4.0,0.44375,93.3370786516854,80.3370786516854
BB,3.5,2.0,100.0,0.0,1.0,0.0,2.0,0.645833,6.3823436401471625,4.3823436401471625
UTG,143.0,27.0,100.0,0.0,1.0,0.0,4.0,0.6,214.5,187.5
HJ,110.0,6.5,100.0,0.0,1.0,0.0,3.0,0.666667,220.00033000033,213.50033000033
SB,101.5,1.0,100.0,0.0,1.0,0.0,2.0,0.4875,96.54878048780488,95.54878048780488
UTG,103.5,2.0,100.0,0.0,1.0,0.0,2.0,0.804167,425.01153789197934,423.01153789197934
BB,7.0,0.0,100.0,0.0,0.0,0.0,4.0,0.377778,4.250004017858577,4.250004017858577
UTG,105.0,2.0,100.0,0.0,1.0,0.0,3.0,0.402778,70.81401890754194,68.81401890754194
SB,3.8,2.3,100.0,0.0,1.0,0.0,2.0,0.729167,10.230786499429538,7.930786499429538
BTN,129.5,20.0,100.0,0.0,1.0,0.0,4.0,0.466667,113.31265175790732,93.31265175790732
UTG,10.0,6.5,100.0,0.0,1.0,1.0,2.0,0.8125,43.333333333333336,36.833333333333336
CO,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.579167,2.0643592588984228,2.0643592588984228
BTN,37.5,0.0,100.0,0.0,0.0,1.0,3.0,0.302778,16.284877700359427,16.284877700359427
HJ,11.0,7.5,100.0,0.0,1.0,1.0,2.0,0.55,13.444444444444448,5.944444444444448
BTN,104.5,2.0,100.0,0.0,1.0,0.0,3.0,0.438889,81.73766064112091,79.73766064112091
BB,4.0,2.5,100.0,0.0,1.0,0.0,2.0,0.508333,4.135587704686302,1.6355877046863023
BTN,101.5,1.0,100.0,0.0,1.0,0.0,2.0,0.520833,110.32593959934636,109.32593959934636
CO,45.1,0.0,100.0,0.0,0.0,1.0,3.0,0.4,30.066666666666677,30.066666666666677
CO,109.0,6.5,100.0,0.0,1.0,0.0,3.0,0.458333,92.23064539652592,85.73064539652592
HJ,16.5,0.0,100.0,0.0,0.0,1.0,3.0,0.5,16.5,16.5
BTN,137.0,0.0,100.0,0.0,0.0,0.0,3.0,0.8,548.0000000000001,548.0000000000001
SB,5.5,0.0,100.0,0.0,0.0,0.0,3.0,0.436111,4.2536926593709055,4.2536926593709055
SB,130.8,21.0,100.0,0.0,1.0,0.0,4.0,0.53125,148.24000000000004,127.24000000000004
UTG,104.0,2.0,100.0,0.0,1.0,0.0,3.0,0.481944,96.75049801565852,94.75049801565852
BTN,121.5,9.5,100.0,0.0,1.0,0.0,4.0,0.441667,96.11207021616131,86.61207021616131
BB,4.0,3.0,100.0,0.0,1.0,0.0,2.0,0.470833,3.559050356503713,0.5590503565037128
BB,103.5,2.0,100.0,0.0,1.0,0.0,3.0,0.383333,64.33774711473129,62.337747114731286
UTG,110.5,7.5,100.0,0.0,1.0,0.0,3.0,0.591667,160.11246580609458,152.61246580609458
BTN,144.5,30.0,100.0,0.0,1.0,0.0,3.0,0.7625,463.9210526315789,433.9210526315789
HJ,105.0,2.0,100.0,0.0,1.0,0.0,3.0,0.395833,68.79300756247858,66.79300756247858
BTN,101.5,1.0,100.0,0.0,1.0,0.0,2.0,0.595833,149.63381349788574,148.63381349788574
HJ,15.0,0.0,100.0,0.0,0.0,1.0,3.0,0.402778,10.116288415363131,10.116288415363131
BB,43.1,0.0,100.0,0.0,0.0,1.0,3.0,0.415278,30.610241790115644,30.610241790115644
BTN,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.566667,1.9615411242624037,1.9615411242624037
HJ,121.5,20.0,100.0,0.0,1.0,0.0,2.0,0.816667,541.2284776881414,521.2284776881414
CO,55.0,0.0,100.0,0.0,0.0,0.0,5.0,0.2725,20.601374570446737,20.601374570446737
BB,116.0,6.5,100.0,0.0,1.0,0.0,5.0,0.220833,32.87694165692336,26.376941656923357
BTN,3.5,2.0,100.0,0.0,1.0,0.0,2.0,0.654167,6.620491682401623,4.620491682401623
SB,128.0,23.0,100.0,0.0,1.0,0.0,4.0,0.6,192.0,169.0
BB,180.4,31.2,100.0,0.0,1.0,0.0,5.0,0.26,63.38378378378379,32.183783783783795
SB,10.0,0.0,100.0,0.0,0.0,1.0,3.0,0.448611,8.136016496520606,8.136016496520606
UTG,114.5,9.5,100.0,0.0,1.0,0.0,4.0,0.570833,152.2959092847307,142.7959092847307
BB,109.5,6.5,100.0,0.0,1.0,0.0,4.0,0.295833,46.002884969048544,39.502884969048544
CO,37.5,0.0,100.0,0.0,0.0,0.0,4.0,0.30625,16.554054054054056,16.554054054054056
SB,124.3,21.0,100.0,0.0,1.0,0.0,3.0,0.491667,120.22475050803314,99.22475050803314
UTG,10.0,6.5,100.0,0.0,1.0,1.0,2.0,0.816667,44.54555371918859,38.04555371918859
BTN,40.1,0.0,100.0,0.0,0.0,0.0,4.0,0.5125,42.156410256410254,42.156410256410254
BTN,5.5,0.0,100.0,0.0,0.0,0.0,3.0,0.465278,4.785718560298624,4.785718560298624
HJ,38.3,0.0,100.0,0.0,0.0,1.0,4.0,0.391667,24.65893860763759,24.65893860763759
SB,11.0,0.0,100.0,0.0,0.0,1.0,3.0,0.716667,27.82357508655893,27.82357508655893
UTG,144.5,30.0,100.0,0.0,1.0,0.0,3.0,0.645833,263.4996160003614,233.4996160003614
SB,139.0,13.0,100.0,0.0,1.0,0.0,4.0,0.377083,84.1436933010337,71.1436933010337
SB,140.0,25.0,100.0,0.0,1.0,0.0,4.0,0.583333,195.99973120021505,170.99973120021505
BB,131.0,14.5,100.0,0.0,1.0,0.0,4.0,0.427083,97.65441241925096,83.15441241925096
BTN,122.0,11.0,100.0,0.0,1.0,0.0,3.0,0.475,110.38095238095237,99.38095238095237
CO,133.0,22.0,100.0,0.0,1.0,0.0,3.0,0.4875,126.5121951219512,104.5121951219512
BTN,106.0,2.0,100.0,0.0,1.0,0.0,4.0,0.41875,76.36559139784946,74.36559139784946
BB,18.0,0.0,100.0,0.0,0.0,1.0,4.0,0.366667,10.421067590035577,10.421067590035577
CO,44.1,0.0,100.0,0.0,0.0,1.0,4.0,0.29375,18.342477876106194,18.342477876106194
BTN,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.420833,1.0899265669487386,1.0899265669487386
BB,7.0,0.0,100.0,0.0,0.0,0.0,4.0,0.383333,4.351345215489072,4.351345215489072
BB,116.5,14.0,100.0,0.0,1.0,0.0,3.0,0.475,105.4047619047619,91.4047619047619
BB,130.5,9.5,100.0,0.0,1.0,0.0,5.0,0.55,159.50000000000003,150.00000000000003
SB,51.0,30.0,100.0,0.0,1.0,1.0,3.0,0.708333,123.85694302063656,93.85694302063656
BTN,134.0,23.0,100.0,0.0,1.0,0.0,3.0,0.5375,155.7297297297297,132.7297297297297
HJ,123.0,14.0,100.0,0.0,1.0,0.0,4.0,0.195833,29.95330447531421,15.953304475314209
BTN,105.6,0.0,100.0,0.0,0.0,0.0,3.0,0.445833,84.95627635712698,84.95627635712698
BB,27.5,0.0,100.0,0.0,0.0,0.0,4.0,0.195833,6.696877016838543,6.696877016838543
BB,23.0,0.0,100.0,0.0,0.0,1.0,4.0,0.222917,6.597867924018413,6.597867924018413
HJ,30.0,0.0,100.0,0.0,0.0,1.0,4.0,0.583333,41.99994240004608,41.99994240004608
SB,5.0,0.0,100.0,0.0,0.0,0.0,2.0,0.5375,5.8108108108108105,5.8108108108108105
SB,146.0,15.0,100.0,0.0,1.0,0.0,4.0,0.658333,281.3166562764328,266.3166562764328
SB,110.0,6.5,100.0,0.0,1.0,0.0,4.0,0.2375,34.26229508196722,27.762295081967217
CO,105.5,0.0,100.0,0.0,0.0,0.0,3.0,0.469444,93.34800096502536,93.34800096502536
BTN,157.5,23.0,100.0,0.0,1.0,0.0,5.0,0.380833,96.87402187132064,73.87402187132064
BB,122.8,20.0,100.0,0.0,1.0,0.0,3.0,0.752778,373.9195476130764,353.9195476130764
SB,24.0,0.0,100.0,0.0,0.0,1.0,4.0,0.394444,15.632998434496564,15.632998434496564
BB,147.0,15.0,100.0,0.0,1.0,0.0,5.0,0.283333,58.11618366689133,43.11618366689133
SB,77.2,0.0,100.0,0.0,0.0,1.0,4.0,0.388194,48.98379028646335,48.98379028646335
BB,105.0,2.0,100.0,0.0,1.0,0.0,4.0,0.6,157.5,155.5
BTN,51.5,0.0,100.0,0.0,0.0,1.0,4.0,0.408333,35.54220448326508,35.54220448326508
SB,4.0,0.0,100.0,0.0,0.0,0.0,2.0,0.616667,6.434791682427549,6.434791682427549
BTN,149.1,0.0,100.0,0.0,0.0,0.0,5.0,0.293333,61.890466513930896,61.890466513930896
HJ,24.0,14.0,100.0,0.0,1.0,1.0,3.0,0.415278,17.045146240435624,3.045146240435624
CO,110.0,6.5,100.0,0.0,1.0,0.0,3.0,0.658333,211.9509054137508,205.4509054137508
HJ,109.0,6.5,100.0,0.0,1.0,0.0,3.0,0.4625,93.7906976744186,87.2906976744186
BB,145.5,31.0,100.0,0.0,1.0,0.0,3.0,0.481944,135.35766789690686,104.35766789690686
BB,114.0,13.5,100.0,0.0,1.0,0.0,2.0,0.65,211.71428571428572,198.21428571428572
BB,118.5,14.5,100.0,0.0,1.0,0.0,4.0,0.3625,67.38235294117646,52.882352941176464
BB,192.0,30.0,100.0,0.0,1.0,0.0,5.0,0.504167,195.2271510770764,165.2271510770764
CO,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.6625,2.944444444444444,2.944444444444444
HJ,60.0,0.0,100.0,0.0,0.0,1.0,3.0,0.5,60.0,60.0
SB,143.0,0.0,100.0,0.0,0.0,0.0,4.0,0.258333,49.8089021083586,49.8089021083586
BTN,158.7,24.1,100.0,0.0,1.0,0.0,4.0,0.533333,181.37118566343875,157.27118566343876
SB,100.0,0.0,100.0,0.0,0.0,0.0,2.0,0.7625,321.0526315789473,321.0526315789473
HJ,103.5,2.0,100.0,0.0,1.0,0.0,2.0,0.808333,436.4990608711984,434.4990608711984
UTG,128.5,20.0,100.0,0.0,1.0,0.0,4.0,0.345833,67.93302092584922,47.93302092584922
BTN,181.8,24.1,100.0,0.0,1.0,0.0,5.0,0.608333,282.36981772781473,258.2698177278147
SB,127.0,13.0,100.0,0.0,1.0,0.0,3.0,0.445833,102.1727944825296,89.1727944825296
BB,14.0,0.0,100.0,0.0,0.0,1.0,3.0,0.272222,5.2366353475922605,5.2366353475922605
SB,88.0,0.0,100.0,0.0,0.0,1.0,4.0,0.329167,43.180189406305296,43.180189406305296
BTN,32.0,0.0,100.0,0.0,0.0,0.0,4.0,0.258333,11.146048024248078,11.146048024248078
BB,105.0,2.0,100.0,0.0,1.0,0.0,4.0,0.370833,61.88732880141521,59.88732880141521
SB,5.0,0.0,100.0,0.0,0.0,0.0,2.0,0.645833,9.117633771638802,9.117633771638802
CO,102.8,2.3,100.0,0.0,1.0,0.0,2.0,0.75,308.4,306.09999999999997
BB,134.0,15.0,100.0,0.0,1.0,0.0,5.0,0.601667,202.4019551480796,187.4019551480796
BTN,47.5,0.0,100.0,0.0,0.0,0.0,4.0,0.31875,22.224770642201836,22.224770642201836
SB,11.3,0.0,100.0,0.0,0.0,0.0,3.0,0.633333,19.51815380167837,19.51815380167837
BTN,48.0,0.0,100.0,0.0,0.0,1.0,3.0,0.470833,42.70860427804456,42.70860427804456
BTN,148.0,25.0,100.0,0.0,1.0,0.0,5.0,0.601667,223.54842807399837,198.54842807399837
SB,121.0,15.0,100.0,0.0,1.0,0.0,5.0,0.511667,126.7817391001632,111.7817391001632
BB,4.0,2.5,100.0,0.0,1.0,0.0,2.0,0.604167,6.105271667597194,3.6052716675971936
SB,52.0,0.0,100.0,0.0,0.0,1.0,5.0,0.191667,12.329923435019976,12.329923435019976
SB,23.0,0.0,100.0,0.0,0.0,1.0,4.0,0.220833,6.518703949217562,6.518703949217562
BTN,122.1,13.1,100.0,0.0,1.0,0.0,4.0,0.6,183.15,170.05
BTN,30.8,0.0,100.0,0.0,0.0,0.0,3.0,0.447222,24.91857056539877,24.91857056539877
BB,18.1,12.5,100.0,0.0,1.0,1.0,4.0,0.602083,27.38687289057769,14.886872890577688
BB,7.0,0.0,100.0,0.0,0.0,0.0,4.0,0.416667,5.000006857146776,5.000006857146776
CO,137.6,24.1,100.0,0.0,1.0,0.0,4.0,0.295833,57.80819152274958,33.70819152274958
BB,134.0,15.0,100.0,0.0,1.0,0.0,5.0,0.314167,61.382841012316405,46.382841012316405
SB,5.5,0.0,100.0,0.0,0.0,0.0,3.0,0.319444,2.5816273752637557,2.5816273752637557
HJ,115.5,6.5,100.0,0.0,1.0,0.0,4.0,0.195833,28.12688347072188,21.62688347072188
BB,105.0,5.0,100.0,0.0,1.0,0.0,2.0,0.404167,71.22387481055932,66.22387481055932
BTN,136.6,24.1,100.0,0.0,1.0,0.0,4.0,0.635417,238.07462827394585,213.97462827394585
SB,34.0,0.0,100.0,0.0,0.0,0.0,4.0,0.377778,20.642876658170238,20.642876658170238
BTN,109.0,7.5,100.0,0.0,1.0,0.0,2.0,0.791667,414.2008371213394,406.7008371213394
CO,122.5,13.0,100.0,0.0,1.0,0.0,4.0,0.570833,162.93667150549788,149.93667150549788
SB,13.0,10.0,100.0,0.0,1.0,1.0,2.0,0.654167,24.590397677491744,14.590397677491744
BTN,31.8,21.0,100.0,0.0,1.0,1.0,3.0,0.433333,24.317614048462325,3.3176140484623247
SB,139.1,24.1,100.0,0.0,1.0,0.0,5.0,0.55,170.01111111111115,145.91111111111115
BB,9.0,0.0,100.0,0.0,0.0,0.0,5.0,0.343333,4.705576799199594,4.705576799199594
HJ,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.579167,2.0643592588984228,2.0643592588984228
BTN,103.5,2.0,100.0,0.0,1.0,0.0,3.0,0.333333,51.749922375038814,49.749922375038814
BB,39.3,26.0,100.0,0.0,1.0,1.0,3.0,0.458333,33.25380150535292,7.253801505352918
BB,116.8,14.0,100.0,0.0,1.0,0.0,3.0,0.519444,126.25179833359692,112.25179833359692
BB,122.6,13.1,100.0,0.0,1.0,0.0,5.0,0.508333,126.75576314863515,113.65576314863516
UTG,134.0,15.0,100.0,0.0,1.0,0.0,5.0,0.575,181.2941176470588,166.2941176470588
CO,145.5,31.0,100.0,0.0,1.0,0.0,3.0,0.586111,206.0435297869719,175.0435297869719
BTN,121.5,9.5,100.0,0.0,1.0,0.0,4.0,0.6125,192.04838709677423,182.54838709677423
BB,6.1,0.0,100.0,0.0,0.0,0.0,3.0,0.479167,5.612007495684797,5.612007495684797
BB,161.5,40.0,100.0,0.0,1.0,0.0,3.0,0.520833,175.54324379600433,135.54324379600433
BTN,108.7,0.0,100.0,0.0,0.0,1.0,4.0,0.275,41.23103448275862,41.23103448275862
BTN,127.7,13.1,100.0,0.0,1.0,0.0,3.0,0.438889,99.88420348202048,86.78420348202049
SB,111.0,10.0,100.0,0.0,1.0,0.0,2.0,0.65,206.1428571428572,196.1428571428572
BB,6.1,0.0,100.0,0.0,0.0,0.0,3.0,0.375,3.6599999999999993,3.6599999999999993
SB,62.0,0.0,100.0,0.0,0.0,1.0,3.0,0.558333,78.37725254546976,78.37725254546976
BB,147.3,31.0,100.0,0.0,1.0,0.0,4.0,0.441667,116.52105302749436,85.52105302749436
BTN,103.5,2.0,100.0,0.0,1.0,0.0,3.0,0.404167,70.2063908846942,68.2063908846942
HJ,138.9,24.9,100.0,0.0,1.0,0.0,3.0,0.75,416.7000000000001,391.8000000000001
BB,7.5,0.0,100.0,0.0,0.0,0.0,4.0,0.604167,11.447384376744738,11.447384376744738
