source_dataset,source_row_id,hand_id,stage_group,metadata.street,split,features.to_call_bb,features.effective_stack_bb,features.players_active,features.equity_win,features.equity_win_present,features.call_max_bb,features.call_margin_bb,features.pot_certain_bb,features.pot_probable_bb,features.pot_probable_margin_bb,features.ev_certain_bb,features.ev_probable_bb,features.bet_size_bb,label_3intent
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1232,,POSTFLOP,FLOP,validation,0.0,100.0,6.0,0.183333,0.183333,3.1428501457754505,3.1428501457754505,14.0,14.0,14.0,2.566662,2.566662,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1266,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.066667,0.066667,0.4285737244906159,0.4285737244906159,6.0,6.0,6.0,0.400002,0.400002,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1268,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.293056,0.293056,6.6326271953648375,6.6326271953648375,16.0,16.0,16.0,4.688896,4.688896,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1277,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.0375,0.0375,0.1948051948051948,0.1948051948051948,5.0,5.0,5.0,0.1875,0.1875,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1322,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.208333,0.208333,1.0526294515244414,1.0526294515244414,4.0,4.0,4.0,0.833332,0.833332,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1323,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.425,0.425,34.73913043478261,33.73913043478261,48.0,53.0,52.0,19.4,21.525,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1336,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.540278,0.540278,45.83387786531861,44.83387786531861,40.0,45.0,44.0,20.61112,23.312510000000003,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1372,,POSTFLOP,FLOP,test,0.0,100.0,6.0,0.070833,0.070833,0.3811639888200936,0.3811639888200936,5.0,5.0,5.0,0.35416499999999995,0.35416499999999995,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1415,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.180556,0.180556,1.5423775145098382,0.5423775145098382,8.0,13.0,12.0,0.44444799999999995,1.3472279999999999,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1418,,POSTFLOP,FLOP,test,0.0,100.0,6.0,0.458333,0.458333,13.538443360957933,13.538443360957933,16.0,16.0,16.0,7.333328,7.333328,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1421,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.369444,0.369444,5.273117692956692,4.273117692956692,10.0,15.0,14.0,2.69444,4.54166,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1429,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.122222,0.122222,0.6962010895693445,0.6962010895693445,5.0,5.0,5.0,0.61111,0.61111,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:148,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.144444,0.144444,2.701288986343384,2.701288986343384,16.0,16.0,16.0,2.311104,2.311104,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1484,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.2,0.2,1.25,0.25,6.0,11.0,10.0,0.20000000000000018,1.2000000000000002,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1497,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.091667,0.091667,0.6055070111952334,0.6055070111952334,6.0,6.0,6.0,0.550002,0.550002,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1520,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.333333,0.333333,12.499981250009377,12.499981250009377,25.0,25.0,25.0,8.333325,8.333325,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1526,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.175,0.175,1.0606060606060606,0.06060606060606055,6.0,11.0,10.0,0.04999999999999982,0.9249999999999998,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1528,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.194444,0.194444,6.517222887049442,5.517222887049442,28.0,33.0,32.0,4.444432,5.416652,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1563,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.136111,0.136111,5.987132606156578,4.987132606156578,39.0,44.0,43.0,4.3083290000000005,4.9888840000000005,1.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1567,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.518056,0.518056,31.172966153744,30.172966153744,30.0,35.0,34.0,14.54168,17.13196,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1568,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.0875,0.0875,0.4794520547945206,0.4794520547945206,5.0,5.0,5.0,0.4375,0.4375,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1574,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.070833,0.070833,0.5336295843481311,-0.4663704156518689,8.0,13.0,12.0,-0.43333600000000005,-0.0791710000000001,1.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1607,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.208333,0.208333,1.3157868144055518,1.3157868144055518,5.0,5.0,5.0,1.041665,1.041665,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1613,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.0125,0.0125,0.2151898734177215,-0.7848101265822784,18.0,23.0,22.0,-0.775,-0.7124999999999999,1.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1622,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.052778,0.052778,2.284467632719679,1.2844676327196791,42.0,47.0,46.0,1.216676,1.480566,1.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1628,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.120833,0.120833,0.824641962221057,0.824641962221057,6.0,6.0,6.0,0.724998,0.724998,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1634,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.001389,0.001389,0.0083455920273259,0.0083455920273259,6.0,6.0,6.0,0.008334000000000001,0.008334000000000001,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1644,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.201389,0.201389,3.782611308885053,2.782611308885053,16.0,21.0,20.0,2.222224,3.2291690000000006,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1653,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.104167,0.104167,1.976751247163255,0.9767512471632549,18.0,23.0,22.0,0.875006,1.3958409999999999,1.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1663,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.133333,0.133333,2.923068491127504,1.9230684911275042,20.0,25.0,24.0,1.6666600000000003,2.3333250000000003,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1670,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.4625,0.4625,16.348837209302324,15.348837209302324,20.0,25.0,24.0,8.25,10.5625,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1672,,POSTFLOP,FLOP,validation,1.0,100.0,6.0,0.154167,0.154167,9.660123215812105,8.660123215812105,54.0,59.0,58.0,7.325018,8.095853,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1694,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.141667,0.141667,1.8155389574908567,0.8155389574908567,12.0,17.0,16.0,0.7000039999999998,1.4083389999999998,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1705,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.5,0.5,17.0,16.0,18.0,23.0,22.0,8.0,10.5,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1707,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.270833,0.270833,4.085707389390907,3.0857073893909073,12.0,17.0,16.0,2.249996,3.6041609999999995,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1718,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.165278,0.165278,5.3460984615237175,4.3460984615237175,28.0,33.0,32.0,3.627784,4.454174,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1726,,POSTFLOP,FLOP,validation,0.0,100.0,6.0,0.180556,0.180556,3.0847550290196764,3.0847550290196764,14.0,14.0,14.0,2.527784,2.527784,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1732,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.204167,0.204167,1.282725144596919,1.282725144596919,5.0,5.0,5.0,1.020835,1.020835,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1853,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.0875,0.0875,0.863013698630137,-0.136986301369863,10.0,15.0,14.0,-0.125,0.3125,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1857,,POSTFLOP,FLOP,test,0.0,100.0,6.0,0.208333,0.208333,1.578944177286662,1.578944177286662,6.0,6.0,6.0,1.249998,1.249998,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1870,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.633333,0.633333,29.363594214914357,28.363594214914357,18.0,23.0,22.0,10.399994000000001,13.566659000000001,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1879,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.561111,0.561111,11.506323922449642,10.506323922449642,10.0,15.0,14.0,4.61111,7.416665,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1892,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.145833,0.145833,6.146325016068286,5.146325016068286,37.0,42.0,41.0,4.395821,5.124986,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1898,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.245833,0.245833,5.54142650102696,4.54142650102696,18.0,23.0,22.0,3.424994,4.654159,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:191,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.966667,0.966667,232.00240002400065,231.00240002400065,9.0,14.0,13.0,7.700003000000001,12.533338,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:193,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.3375,0.3375,8.660377358490567,7.6603773584905674,18.0,23.0,22.0,5.075,6.7625,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1943,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.163889,0.163889,1.5681075838016725,0.5681075838016725,9.0,14.0,13.0,0.475001,1.2944460000000002,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1949,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.309722,0.309722,3.140841805765214,2.140841805765214,8.0,13.0,12.0,1.477776,3.0263859999999996,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1985,,POSTFLOP,FLOP,test,0.0,100.0,6.0,0.366667,0.366667,13.31580858726768,13.31580858726768,23.0,23.0,23.0,8.433341,8.433341,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1990,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.234722,0.234722,11.34844331079686,10.34844331079686,38.0,43.0,42.0,7.919435999999999,9.093046,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2002,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.466667,0.466667,4.375005859378661,4.375005859378661,5.0,5.0,5.0,2.333335,2.333335,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2006,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.095833,0.095833,1.0599037567175091,0.05990375671750914,11.0,16.0,15.0,0.05416299999999996,0.533328,1.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2007,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.169444,0.169444,1.428089135470697,0.42808913547069705,8.0,13.0,12.0,0.3555520000000001,1.202772,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2025,,POSTFLOP,FLOP,test,0.0,100.0,6.0,0.272222,0.272222,8.603043785330142,8.603043785330142,23.0,23.0,23.0,6.261106000000001,6.261106000000001,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2053,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.072222,0.072222,2.3353215963301563,1.3353215963301563,31.0,36.0,35.0,1.2388819999999998,1.5999919999999999,1.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2088,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.394444,0.394444,16.284373369267254,16.284373369267254,25.0,25.0,25.0,9.8611,9.8611,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2114,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.058333,0.058333,0.3716791604675538,0.3716791604675538,6.0,6.0,6.0,0.34999800000000003,0.34999800000000003,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2126,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.294444,0.294444,2.08660970922223,2.08660970922223,5.0,5.0,5.0,1.4722199999999999,1.4722199999999999,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2129,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.216667,0.216667,11.8936403802725,10.8936403802725,44.0,49.0,48.0,8.533348,9.616683,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2141,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.113889,0.113889,0.8996875109326032,-0.10031248906739676,8.0,13.0,12.0,-0.08888799999999997,0.4805570000000001,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2150,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.125,0.125,2.142857142857143,1.1428571428571428,16.0,21.0,20.0,1.0,1.625,1.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2151,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.297222,0.297222,11.418960183728004,10.418960183728004,28.0,33.0,32.0,7.322215999999999,8.808326,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2163,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.184722,0.184722,8.38329257014172,7.38329257014172,38.0,43.0,42.0,6.019436,6.943046,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2169,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.295833,0.295833,4.20117670950215,3.2011767095021497,11.0,16.0,15.0,2.254163,3.733328,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2229,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.329167,0.329167,7.850943528419144,7.850943528419144,16.0,16.0,16.0,5.266672,5.266672,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2236,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.598611,0.598611,13.422139121899203,12.422139121899203,10.0,15.0,14.0,4.98611,7.979165,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:224,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.218056,0.218056,13.106606099669545,12.106606099669545,48.0,53.0,52.0,9.466688,10.556968,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2255,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.391667,0.391667,23.82195113531569,22.82195113531569,38.0,43.0,42.0,13.883346,15.841681000000001,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:226,,POSTFLOP,FLOP,test,0.0,100.0,6.0,0.545833,0.545833,6.009166231804601,6.009166231804601,5.0,5.0,5.0,2.729165,2.729165,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2262,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.333333,0.333333,10.999983500008248,9.999983500008248,23.0,28.0,27.0,6.666659,8.333324,1.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2263,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.2875,0.2875,18.157894736842103,17.157894736842103,46.0,51.0,50.0,12.225,13.6625,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2308,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.475,0.475,15.38095238095238,14.38095238095238,18.0,23.0,22.0,7.549999999999999,9.924999999999999,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2316,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.127778,0.127778,2.783445040368163,1.783445040368163,20.0,25.0,24.0,1.5555599999999998,2.1944500000000002,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:235,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.122222,0.122222,2.9240445761912466,1.9240445761912466,22.0,27.0,26.0,1.6888839999999998,2.299994,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2373,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.575,0.575,10.823529411764705,9.823529411764705,9.0,14.0,13.0,4.175,7.049999999999999,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2392,,POSTFLOP,FLOP,validation,0.0,100.0,6.0,0.348611,0.348611,2.140723899236862,2.140723899236862,4.0,4.0,4.0,1.394444,1.394444,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:24,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.526389,0.526389,16.671561682477815,15.671561682477815,16.0,21.0,20.0,7.422224,10.054169,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:241,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.333333,0.333333,14.99997750001125,13.99997750001125,31.0,36.0,35.0,9.333323,10.999988,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2413,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.329167,0.329167,3.4347877936833755,2.4347877936833755,8.0,13.0,12.0,1.633336,3.279171,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2430,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.179167,0.179167,6.329963585772014,5.329963585772014,30.0,35.0,34.0,4.37501,5.270845,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2439,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.35,0.35,16.153846153846153,15.153846153846153,31.0,36.0,35.0,9.85,11.6,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2456,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.208333,0.208333,4.473675168978876,3.4736751689788763,18.0,23.0,22.0,2.749994,3.791659,1.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2463,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.379167,0.379167,13.436260636918462,12.436260636918462,23.0,28.0,27.0,7.720841,9.616676,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2479,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.283333,0.283333,7.511615575992755,6.511615575992755,20.0,25.0,24.0,4.66666,6.083325,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2483,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.25,0.25,10.666666666666666,9.666666666666666,33.0,38.0,37.0,7.25,8.5,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2485,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.241667,0.241667,1.274727593286854,1.274727593286854,4.0,4.0,4.0,0.966668,0.966668,0.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2503,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.295833,0.295833,7.142000406153654,6.142000406153654,18.0,23.0,22.0,4.324994,5.804159,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:253,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.033333,0.033333,0.7586128418576408,-0.24138715814235923,23.0,28.0,27.0,-0.23334100000000002,-0.06667599999999996,1.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2535,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.291667,0.291667,17.705910920428668,16.705910920428668,44.0,49.0,48.0,11.833348,13.291683,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2557,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.108333,0.108333,0.6074745392618545,0.6074745392618545,5.0,5.0,5.0,0.541665,0.541665,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2567,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.158333,0.158333,3.1980118027676028,2.1980118027676028,18.0,23.0,22.0,1.8499940000000001,2.641659,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2589,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.325,0.325,18.29629629629629,17.29629629629629,39.0,44.0,43.0,11.675,13.3,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2591,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.333333,0.333333,7.499988750005625,6.499988750005625,16.0,21.0,20.0,4.333328,5.999993,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:26,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.215278,0.215278,6.309742813378495,6.309742813378495,23.0,23.0,23.0,4.951394,4.951394,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2620,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.658333,0.658333,52.024313147011554,51.024313147011554,28.0,33.0,32.0,17.433324,20.724988999999997,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2627,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.283333,0.283333,6.7209191995724655,5.7209191995724655,18.0,23.0,22.0,4.099994,5.516659,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2629,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.116667,0.116667,0.6603794944828282,0.6603794944828282,5.0,5.0,5.0,0.583335,0.583335,0.0,NO_INVEST
