source_dataset,source_row_id,hand_id,stage_group,metadata.street,split,features.hero_position,features.pot_bb,features.to_call_bb,features.effective_stack_bb,features.can_check,features.can_call,features.can_raise,features.players_active,features.bet_size_bb,features.equity_win,features.call_max_bb,features.call_margin_bb,label_3intent
solver_policy,c390e7d62ffdac116eb33d018666ba2ab9030bb1,synthetic_hero_snapshot_hero_ip_facing_bet_river_seed_559133009_000002,RIVER,RIVER,validation,IP,0.16,0.04,1.0,0.0,1.0,1.0,2.0,0.04,0.7656666667,0.5227880513,0.4827880513,RAISE
solver_policy,4917189369e3ab1bd867fe34e3a48f9afbdf3b99,synthetic_hero_snapshot_hero_ip_facing_bet_river_seed_559133009_000003,RIVER,RIVER,train,IP,0.2,0.06,1.0,0.0,1.0,1.0,2.0,0.06,0.3516666667,0.1084832905,0.0484832905,NO_INVEST
solver_policy,fbad46860c30b9ef8287529911bc4f49dfef680b,synthetic_hero_snapshot_hero_ip_facing_bet_river_seed_559133009_000004,RIVER,RIVER,train,IP,0.16,0.06,1.0,0.0,1.0,1.0,2.0,0.06,0.485,0.1506796116,0.0906796116,RAISE
solver_policy,21e88e4b550c1979baa9ad0368bb9b329a56b045,synthetic_hero_snapshot_hero_ip_facing_bet_river_seed_559133009_000005,RIVER,RIVER,train,IP,0.24,0.06,1.0,0.0,1.0,1.0,2.0,0.06,0.72,0.6171428571,0.5571428571,RAISE
solver_policy,d8bb63a23b84dbc1cb28d17c9c5900f37ed26545,synthetic_hero_snapshot_hero_ip_facing_bet_river_seed_559133009_000006,RIVER,RIVER,validation,IP,0.12,0.06,1.0,0.0,1.0,1.0,2.0,0.06,0.35,0.0646153846,0.0046153846,NO_INVEST
solver_policy,2148fcd66ba20ca5c4a9f0947bfdb7fde7b86788,synthetic_hero_snapshot_hero_oop_facing_bet_river_seed_978945781_000000,RIVER,RIVER,train,OOP,0.12,0.06,1.0,0.0,1.0,1.0,2.0,0.06,0.395,0.0783471074,0.0183471074,NO_INVEST
solver_policy,50fb847bd7755c7778613939106775bc79220ebf,synthetic_hero_snapshot_hero_oop_facing_bet_river_seed_978945781_000001,RIVER,RIVER,train,OOP,0.24,0.02,1.0,0.0,1.0,1.0,2.0,0.02,0.598,0.3570149254,0.3370149254,RAISE
solver_policy,1650af3a446e0404dcdc05087084ac53b7190a10,synthetic_hero_snapshot_hero_oop_facing_bet_river_seed_978945781_000002,RIVER,RIVER,train,OOP,0.12,0.06,1.0,0.0,1.0,1.0,2.0,0.06,0.4726666667,0.1075600506,0.0475600506,NO_INVEST
solver_policy,04f77eef0e4c9c9f95944a5797de7fdd3e4b65c2,synthetic_hero_snapshot_hero_oop_facing_bet_river_seed_978945781_000003,RIVER,RIVER,train,OOP,0.16,0.02,1.0,0.0,1.0,1.0,2.0,0.02,0.626,0.2678074866,0.2478074866,NO_INVEST
solver_policy,e7a6e182041214cfb12df78c2c539f21d4a6bd25,synthetic_hero_snapshot_hero_oop_facing_bet_river_seed_978945781_000004,RIVER,RIVER,train,OOP,0.16,0.04,1.0,0.0,1.0,1.0,2.0,0.04,0.4383333333,0.1248664688,0.0848664688,RAISE
